term,mean_tfidf
hizo,0.0074366366978436405
división,0.007433018666626492
estados,0.007431395445203089
golpe estado,0.007430214782352192
seguridad,0.007423213447110553
línea,0.007421535708840626
señor ministro,0.007399474408672357
europa,0.007395827304594408
constitución,0.007391477782021429
allí,0.007347580889578328
código,0.007331999454616315
éste,0.007317333896668574
gran,0.007298640295766588
gabinete,0.007288722748476503
art,0.007288192843101088
libertad,0.0072855629169965895
prisión,0.0072810898226251634
casa,0.007267571004035498
recurso,0.007263216626051583
pregunta,0.007240950783442352
calle,0.007224052608373053
persona,0.007223249638276589
real,0.007207097510860488
general juste,0.007197641976699733
coronel san,0.007182094485953401
llorca,0.007179924657037869
testimonio,0.007150263578030434
testigo,0.0071347745750981505
zona,0.00710847645538831
tengo honor,0.007102833252873064
código justicia,0.007102772019642213
mas,0.007096559163809261
general jefe,0.0070731648172645675
estuvo,0.007070705373094392
resto,0.0070603287261360465
interés,0.007045498678949807
crisis,0.007044485030997557
reunión,0.007041614145602381
aramburu,0.007028081439418648
armadas,0.00702225009056598
prieto,0.007010608287043304
actual,0.007008672603872314
público,0.007003867368455155
número,0.006999901751105294
llegar,0.006993410919057709
manchado,0.0069609501352381285
reagan,0.006958412885034016
gabeiras,0.0069531644043185825
ministro asuntos,0.006943817987107725
despacho,0.006921544174877174
continuación,0.0068947131492824755
misma,0.006882612021433581
manifiesta,0.006881371720140591
mes,0.006872221185038762
tuvo,0.00685853291976503
director general,0.0068547968251430665
alguna,0.006854581544078704
juez especial,0.006834244544035164
cada,0.006818024262762666
sentido,0.006804645526403019
tres,0.006790192720374622
infantería,0.006789899099788594
dia,0.0067706978381703075
abogado,0.006758944508719212
ninguna,0.006753803315899503
fuerzas armadas,0.006745114736614539
acciones,0.006731941395248211
comunicado,0.006701914760106133
gómez iglesias,0.006700456428865638
pide,0.006699897727591579
social,0.006690469224479294
mar,0.006676746800673603
solución,0.0066694066120438315
derecha,0.00666522035975681
pérez,0.006654193809882512
cualquier,0.00662952022084459
remitir,0.006572015740499364
direccion,0.006565252805177935
auto,0.00656231303830272
oral,0.006546941844261462
española,0.006545034725599465
sectores,0.006542747093752851
tenido,0.006539282118920068
america,0.006531879964788736
hacia,0.006521752794361123
atención,0.006520991266475985
luis,0.006517972374139608
sucesos,0.006491891905833369
garcia,0.0064768209848133865
políticos,0.006467557781787579
brigada,0.006452877098646854
togado juez,0.006441530920845873
estado mayor,0.00642678263387273
cuerpo,0.006424265703710705
montero,0.006417950845711354
entrada,0.006410012315888084
siempre,0.006401326726751704
solicita,0.006327205708113354
vista oral,0.006317863136392528
sea,0.006286192453217104
absolución,0.006277947509843857
dado,0.006245663418628203
nadie,0.0062322472764319665
defendido,0.006217201596497038
february,0.00620123347814445
ningún,0.0061978842984439396
dirección,0.00619004165549944
oficial,0.006187058233122689
circunstancias,0.006186039278840548
agradezco,0.00615800784951766
servicios,0.0061523569838700925
democráticas,0.006151380255202888
obediencia,0.006138630659944321
pena,0.006136217638550237
todas,0.0061104781688861975
consejo reunido,0.0061073334043399465
prueba,0.0060793593539708035
valiente,0.006072610283453865
nueva,0.006064851843568887
support,0.006051396612707583
fuera,0.006047372068274652
unidades,0.006040053824693056
embajador españa,0.0060162982115193235
sentencias,0.006015061243133466
dentro,0.006002699664519894
letrados,0.005990133732963753
people,0.005987477328870984
informacion,0.005987023823160606
die,0.005975655361172921
producido,0.005971262661190053
san martín,0.005952998506965411
enero,0.005950669143125512
capitán general,0.005936255193664223
sanchez,0.0059292974634030495
presencia,0.005928091645618127
último,0.005894294485571062
tener,0.005889409926827331
participación,0.005873590668691346
opinión,0.005851810405649793
haya,0.00584655581324879
necesidad,0.005830107838023115
general torres,0.005818501500943366
coronel manchado,0.005818108653550715
decir,0.005816379948221879
constitucional,0.005816132883599772
king,0.0058083757546944104
tenientes,0.005801511347764881
veces,0.005791539301631775
acuerdo,0.00577802530396367
extrema,0.005771799863314452
etc,0.005763916005461918
dar,0.005759877104205482
posteriormente,0.005749376688098257
clase,0.005746624126318824
alta,0.005744621753604097
microfilmacion,0.005737705186346742
relaciones,0.005728062010796688
incidentes,0.005711599983059769
tenía,0.005699924193346775
referencia,0.00569745685025082
fernández,0.005693909400109284
salida,0.005689144051951741
espanha,0.005688767664156321
golpe militar,0.005683795645542092
madrid junio,0.005682225307196234
falta,0.005655489509570259
redacted,0.005646799395475034
términos,0.00563987844487754
carta,0.005636104570885652
destino,0.0056323669584598095
resolución,0.005629077893462286
delito,0.005620486721592861
comportamiento,0.005618578637195251
siguientes,0.005612220551135001
autos,0.00557971740048336
embajada,0.00557914098555981
general guardia,0.005578092023331212
ministerio asuntos,0.005574912227137793
escandell,0.005570196670761865
nombre,0.005559348793107276
núm fecha,0.005556871104610771
efecto,0.005545714090110241
incluso,0.00553763282316735
policía,0.005509762344075681
teléfono,0.0055065787029748995
sigue,0.005494435799149691
anterior,0.005491429811628839
tema,0.005487972097547805
punto,0.005487794058950675
defensor capitán,0.005468735929549158
cumplimiento,0.0054573829600837636
pone,0.0054440742901095095
político,0.005439501915280621
hubiera,0.0054364225673119845
judicial,0.005434496903920815
auto procesamiento,0.005425668301027971
asalto,0.005419766924208131
junta,0.005417586896758197
