term,mean_tfidf
campo,0.003689899017941924
pudiera,0.0036836238347567178
comunico,0.0036832385190485968
conversación,0.0036832285824071765
jefes oficiales,0.003680813674121428
oye,0.003677294295845078
diligencias,0.003675541412528318
integrada,0.0036727453951927464
espera,0.0036710359126170826
partir,0.0036701563758310828
inicia,0.0036660239179875714
pasados,0.0036644288510176803
manifestación,0.0036629313557870594
implicación,0.003659843329253157
lunes,0.003658450334874387
escudero,0.0036573341262924244
hechos comentarios,0.0036567803107374983
cómo,0.003656356274635737
menéndez,0.00364951879203209
muñecas,0.003648097980763762
ibáñez,0.003645686281704577
coronel ibáñez,0.003645686281704577
tampoco,0.0036450245345168307
antonio tejero,0.0036443970104329836
don jose,0.003641382699347333
gomez,0.003640943446727479
funciones,0.003636328901119385
rumores,0.0036352999382816926
peligro,0.003632008240256695
departamento,0.003628571097963365
presidente consejo,0.003628337197156721
povo,0.0036251058077718078
propuesta,0.0036182866270503336
bajo,0.0036177159596563263
menendez,0.0036150382368927403
papel,0.0035996573999847246
difícil,0.0035977077078554586
reacciones,0.003586184968261557
manifestaciones,0.003576581886760416
hacen,0.003570636664206973
villalonga,0.003564270288933353
tesis,0.003557480976750942
movimiento,0.003552941753890257
defensor general,0.0035493104831354535
luis alvarez,0.0035459431296574347
gobierno militar,0.0035407570604348458
majestad rey,0.0035402157058747378
diciendo,0.0035323797119971804
febrero pasado,0.003531492930192364
felicitación,0.003522718881884313
zancada,0.0035158580617566794
principio,0.0035112961065404793
aspectos,0.0035062780096253186
considerar,0.003504438445387857
abogado defensor,0.0035041331674916043
exteriores madrid,0.0035024103387573074
saber,0.0034972850348267987
datos,0.003496728949344906
general gabeiras,0.0034946657946303113
oliver,0.003484180906916169
pardo zancada,0.003482863515419105
plan,0.003482838600592831
llevar,0.0034817565443614044
común,0.0034807131007089567
iba,0.0034787666581710653
jun,0.0034784771878836416
tenga,0.0034746876766630066
podría,0.003473598734016707
embajada españa,0.003473005086164312
embargo,0.0034699309624927326
debía,0.0034665822791914904
acera,0.0034652222881225484
art código,0.003464635016087702
comida,0.003461507192740507
secretario general,0.0034600258645917092
asalto congreso,0.0034580923826463177
historia,0.0034423238061069904
quiero,0.0034357197812012897
diego,0.003435595891940481
valor,0.0034343482533583615
pruebas,0.0034269668105688816
conversaciones,0.0034225336441703526
cosas,0.00342046459496398
debido conocimiento,0.003419369462675308
pudo,0.003416699139085855
revista,0.003414449667399906
asumir,0.003407484888501112
haciendo,0.0034062211212170456
llegado,0.0034056889469322857
nuevos,0.0034050380465719386
trabajadores,0.003398467823459435
comparecencia,0.0033967177382930812
nivel,0.00339305626292884
visitas,0.0033916452668188908
sres,0.0033891112760626096
socialista,0.0033886203556202214
cuestión,0.003385950140274158
vió,0.0033841220501320494
trata,0.0033809647532026823
evitar,0.0033798754629002408
políticas,0.0033769019746418836
fortea,0.0033677447177303923
cid fortea,0.0033677447177303923
llegada,0.003363711036915103
democracia española,0.0033636419765482738
mantiene,0.003356576521812874
militantes,0.003351731914747909
intervenciones,0.0033460043327373265
government,0.0033448821054331917
prácticamente,0.0033424528903999813
partido socialista,0.0033404264374172657
artillería,0.003339588319707853
ideología,0.003339546322516626
destaca,0.003336754040707558
jurídico,0.003334643418592895
oportunidad,0.003329267886182436
fiscal solicita,0.0033254349129588114
democrático,0.0033253878020580003
hubo,0.0033253337337038912
cargo,0.003323759903464187
ayudante,0.0033233592345877873
quién,0.003321555010280803
rey don,0.003320621993310071
seguro,0.003318686552606866
motivos,0.003315027186683206
ministerio fiscal,0.003306198853389471
telegrama,0.003305418326566632
preguntado,0.003303564821126672
niega,0.003302854763637632
finalmente,0.0033027864100569787
relacion,0.0033024307134948026
hayan,0.0033015175494123744
partes,0.0032917786303817828
rico,0.003286890728116204
circunstancia,0.0032849808867190973
diferentes,0.003284516430524865
mantener,0.0032838150655881524
régimen,0.0032782555777263614
regiones,0.0032766898238049385
dejar,0.003270784320958404
puntos,0.003270579378157171
tan,0.0032696217743024584
postura,0.0032686340149006943
ordena,0.0032657255334701003
sensación,0.0032637354164353153
previa,0.0032636926896907077
responsabilidades,0.00326162044481152
hablando,0.0032592098022715763
proyecto,0.0032580224080935726
recuerda,0.003255293122145616
llama,0.00325423754523432
manera,0.0032536877970487403
favor,0.003250650957757806
organización,0.0032504899277250913
día abril,0.003248815151992882
comisión,0.003246103841745156
mientras,0.0032461001565957715
seguir,0.0032458699800919063
manifestado,0.003245006020421996
objetivos,0.003243725538997595
realidad,0.003243661351947025
capitán abad,0.003243273228000448
tratado,0.003237935108597602
gonzalez,0.0032376756489122397
constancia,0.00323040037400505
izquierda,0.003227972766775762
intento golpe,0.0032274285710141653
trabajo,0.003227258270621906
particular,0.0032231913250434633
necesario,0.003220189857294225
ocasiones,0.0032188641072025273
coronel guardia,0.0032125818058920336
supuesta,0.003210284196078932
basado,0.0032071642991216777
procedió,0.003207121211100191
posterior,0.0032064639961599003
paro,0.0032060490943506457
vida,0.0031949543256455473
esposa,0.003191706448876796
varias,0.003190030185344325
prueba testifical,0.003187350603296663
testifical,0.003187350603296663
amigos,0.003186609454780556
autoridad militar,0.0031778327405152284
feb,0.0031751173701683143
honorable,0.0031749048479775693
cumplir,0.00316655484817525
asistencia,0.003165852474612719
motivo hechos,0.0031654259065410696
reuniones,0.0031651895124680447
columna,0.0031579872437881417
san martin,0.003157024632765102
temas,0.003156656479527405
periodista,0.0031509030051396587
condición,0.003149179043422134
spanish people,0.0031478638847423153
king juan,0.00314575813669136
razones,0.003136428028862162
derechos,0.0031342837777872524
garcía carrés,0.0031323369072608354
principales,0.0031292356993665414
assiego,0.0031276669321792495
