moncloa_id,moncloa_title,moncloa_pdf_url,moncloa_pdf_filename,moncloa_section,moncloa_subsection,moncloa_date,matched_rtve_doc_id,rtve_title,rtve_pdf_url,rtve_pdf_filename,rtve_date,match_score,match_status,match_method,notes,final_match_status,manual_review,final_notes
moncloa_0116,RESERVADO: Informe de Asesoría Jurídica General sobre su situación administrativa del Cap. Sánchez Valiente.,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/defensa/Causa_9481_reservado_Informe_de_Asesoria_Juridica_General_sobre_situacion_administrativa_del_Cap_Sanchez_Valiente.pdf,Causa_9481_reservado_Informe_de_Asesoria_Juridica_General_sobre_situacion_administrativa_del_Cap_Sanchez_Valiente.pdf,defensa,,,rtve_1719,RESERVADO: Informe de Asesoría Jurídica General sobre su situación administrativa del Cap. Sánchez Valiente.,https://www.rtve.es/contenidos/documentos/23f-desclasificado/116_2026_reservado_informe_de_asesoria_juridica_general_sobre_su_situacion_administrativa.pdf,116_2026_reservado_informe_de_asesoria_juridica_general_sobre_su_situacion_administrativa.pdf,,0.9455,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0024,Índices de subversión en las FAS. Marca: SECRETO (diciembre de 1981).,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/interior/archivo/2_Indices_de_subversion_en_las_FAS_DIC_1981.pdf,2_Indices_de_subversion_en_las_FAS_DIC_1981.pdf,interior,archivo,,rtve_1785,Índices de subversión en las FAS. Marca: SECRETO (diciembre de 1981).,https://www.rtve.es/contenidos/documentos/23f-desclasificado/24_1981_indices_de_subversion_en_las_fas_marca_secreto_diciembre_de_1981.pdf,24_1981_indices_de_subversion_en_las_fas_marca_secreto_diciembre_de_1981.pdf,,0.937,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0004,Conversaciones telefónicas de (presuntamente) la unidad militar El Pardo (24 de febrero del 1981).,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/interior/guardia-civil/23F_3._Conversaciones_telefonicas_unidad_militar_El_Pardo.pdf,23F_3._Conversaciones_telefonicas_unidad_militar_El_Pardo.pdf,interior,guardia-civil,,rtve_1696,Conversaciones telefónicas de (presuntamente) la unidad militar El Pardo (24 de febrero del 1981).,https://www.rtve.es/contenidos/documentos/23f-desclasificado/04_1981_conversaciones_telefonicas_de_presuntamente_la_unidad_militar_el_pardo_24_de_feb.pdf,04_1981_conversaciones_telefonicas_de_presuntamente_la_unidad_militar_el_pardo_24_de_feb.pdf,,0.9306,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0028,"Nota ""Posible golpe de estado"" (sin firma).",https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/interior/archivo/6_POSIBLE_GOLPE_DE_ESTADO_desp.pdf,6_POSIBLE_GOLPE_DE_ESTADO_desp.pdf,interior,archivo,,rtve_1789,"""Nota """"Posible golpe de estado"""" (sin firma).""",https://www.rtve.es/contenidos/documentos/23f-desclasificado/28_2026_nota_posible_golpe_de_estado_sin_firma.pdf,28_2026_nota_posible_golpe_de_estado_sin_firma.pdf,,0.9276,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0002,Transcripción de conversación telefónica de (presuntamente) García Carres y Tejero mientras (posiblemente) el segundo se encontraba dentro del Congreso.,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/interior/guardia-civil/23F_1._Conversacion_telefonica_GARCIA_CARRES_y_Tcol._TEJERO.pdf,23F_1._Conversacion_telefonica_GARCIA_CARRES_y_Tcol._TEJERO.pdf,interior,guardia-civil,,rtve_1694,Transcripción de conversación telefónica de (presuntamente) García Carres y Tejero mientras (posiblemente) el segundo se encontraba dentro del Congreso.,https://www.rtve.es/contenidos/documentos/23f-desclasificado/02_2026_transcripcion_de_conversacion_telefonica_de_presuntamente_garcia_carres_y_tejero.pdf,02_2026_transcripcion_de_conversacion_telefonica_de_presuntamente_garcia_carres_y_tejero.pdf,,0.919,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0003,Transcripción de conversación telefónica de García Carres con otra persona después de la citada.,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/interior/guardia-civil/23F_2._Conversacion_telefonica_GARCIA_CARRES.pdf,23F_2._Conversacion_telefonica_GARCIA_CARRES.pdf,interior,guardia-civil,,rtve_1695,Transcripción de conversación telefónica de García Carres con otra persona después de la citada.,https://www.rtve.es/contenidos/documentos/23f-desclasificado/03_2026_transcripcion_de_conversacion_telefonica_de_garcia_carres_con_otra_persona_despu.pdf,03_2026_transcripcion_de_conversacion_telefonica_de_garcia_carres_con_otra_persona_despu.pdf,,0.9065,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0026,"Nota ""Campaña contra S.M."" (sin firma).",https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/interior/archivo/4_campana_contra_SM.pdf,4_campana_contra_SM.pdf,interior,archivo,,rtve_1787,"""Nota """"Campaña contra S.M."""" (sin firma).""",https://www.rtve.es/contenidos/documentos/23f-desclasificado/26_2026_nota_campana_contra_sm_sin_firma.pdf,26_2026_nota_campana_contra_sm_sin_firma.pdf,,0.9025,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0010,Oficio zona País Vasco que expresa una comunicación del teniente coronel Tejero sobre la posible situación de tensión por la presencia de ETA (1975).,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/interior/guardia-civil/23F_9._Oficio_dimanante_Zona_del_Pais_Vasco_disposiciones_sobre_Tejero.pdf,23F_9._Oficio_dimanante_Zona_del_Pais_Vasco_disposiciones_sobre_Tejero.pdf,interior,guardia-civil,,rtve_1712,Oficio zona País Vasco que expresa una comunicación del teniente coronel Tejero sobre la posible situación de tensión por la presencia de ETA (1975).,https://www.rtve.es/contenidos/documentos/23f-desclasificado/10_1975_oficio_zona_pais_vasco_que_expresa_una_comunicacion_del_teniente_coronel_tejero_.pdf,10_1975_oficio_zona_pais_vasco_que_expresa_una_comunicacion_del_teniente_coronel_tejero_.pdf,,0.8878,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0011,Nota sobre la comparecencia del teniente coronel Tejero informando sobre una reunión en la cafetería Galaxia citando al resto de asistentes (1978).,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/interior/guardia-civil/23F_10._Nota_comparecencia_Tejero_Galaxia.pdf,23F_10._Nota_comparecencia_Tejero_Galaxia.pdf,interior,guardia-civil,,rtve_1723,Nota sobre la comparecencia del teniente coronel Tejero informando sobre una reunión en la cafetería Galaxia citando al resto de asistentes (1978).,https://www.rtve.es/contenidos/documentos/23f-desclasificado/11_1978_nota_sobre_la_comparecencia_del_teniente_coronel_tejero_informando_sobre_una_reu.pdf,11_1978_nota_sobre_la_comparecencia_del_teniente_coronel_tejero_informando_sobre_una_reu.pdf,,0.8711,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0008,Nota del EM de la Guardia Civil con una secuencia parcial de los hechos del asalto al Congreso.,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/interior/guardia-civil/23F_7._Notas_Informativas_2_Seccion_EM_desarrollo_hechos.pdf,23F_7._Notas_Informativas_2_Seccion_EM_desarrollo_hechos.pdf,interior,guardia-civil,,rtve_1700,Nota del EM de la Guardia Civil con una secuencia parcial de los hechos del asalto al Congreso.,https://www.rtve.es/contenidos/documentos/23f-desclasificado/08_2026_nota_del_em_de_la_guardia_civil_con_una_secuencia_parcial_de_los_hechos_del_asal.pdf,08_2026_nota_del_em_de_la_guardia_civil_con_una_secuencia_parcial_de_los_hechos_del_asal.pdf,,0.8444,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
